All-Genes	Genes in same transcription unit	Accession-1	Left-End-Position	Right-End-Position
USA300HOU_RS03255	USA300HOU_RS03255 // USA300HOU_RS03250	USA300HOU_RS03255	675520	676320
USA300HOU_RS03260	USA300HOU_RS03260	USA300HOU_RS03260	676456	676962
USA300HOU_RS03265	USA300HOU_RS03265	USA300HOU_RS03265	677124	677840
USA300HOU_RS03270	USA300HOU_RS03270	USA300HOU_RS03270	678009	678797
USA300HOU_RS03275	USA300HOU_RS03275	USA300HOU_RS03275	679048	679422
USA300HOU_RS03280	USA300HOU_RS03280	USA300HOU_RS03280	680370	680894
USA300HOU_RS03285	USA300HOU_RS03290 // USA300HOU_RS03285	USA300HOU_RS03285	681138	681674
USA300HOU_RS03290	USA300HOU_RS03290 // USA300HOU_RS03285	USA300HOU_RS03290	681655	682158
USA300HOU_RS03295	USA300HOU_RS03295	USA300HOU_RS03295	682267	682623
USA300HOU_RS03300	USA300HOU_RS03315 // USA300HOU_RS03310 // USA300HOU_RS03305 // USA300HOU_RS03300	USA300HOU_RS03300	682679	683269
USA300HOU_RS03305	USA300HOU_RS03315 // USA300HOU_RS03310 // USA300HOU_RS03305 // USA300HOU_RS03300	USA300HOU_RS03305	683276	684322
USA300HOU_RS03310	USA300HOU_RS03315 // USA300HOU_RS03310 // USA300HOU_RS03305 // USA300HOU_RS03300	USA300HOU_RS03310	684312	686159
USA300HOU_RS03315	USA300HOU_RS03315 // USA300HOU_RS03310 // USA300HOU_RS03305 // USA300HOU_RS03300	USA300HOU_RS03315	686164	687522
USA300HOU_RS03320	USA300HOU_RS03335 // USA300HOU_RS03330 // USA300HOU_RS03325 // USA300HOU_RS03320	USA300HOU_RS03320	687576	690071
USA300HOU_RS03325	USA300HOU_RS03335 // USA300HOU_RS03330 // USA300HOU_RS03325 // USA300HOU_RS03320	USA300HOU_RS03325	690106	690489
USA300HOU_RS03330	USA300HOU_RS03335 // USA300HOU_RS03330 // USA300HOU_RS03325 // USA300HOU_RS03320	USA300HOU_RS03330	690501	690761
USA300HOU_RS03335	USA300HOU_RS03335 // USA300HOU_RS03330 // USA300HOU_RS03325 // USA300HOU_RS03320	USA300HOU_RS03335	690766	691821
USA300HOU_RS03340	USA300HOU_RS03340	USA300HOU_RS03340	691882	692973
USA300HOU_RS03345	USA300HOU_RS03350 // USA300HOU_RS03345	USA300HOU_RS03345	693148	693450
USA300HOU_RS03350	USA300HOU_RS03350 // USA300HOU_RS03345	USA300HOU_RS03350	693464	693784
USA300HOU_RS03355	USA300HOU_RS03360 // USA300HOU_RS03355	USA300HOU_RS03355	693935	694219
USA300HOU_RS03360	USA300HOU_RS03360 // USA300HOU_RS03355	USA300HOU_RS03360	694255	694656
USA300HOU_RS03365	USA300HOU_RS03370 // USA300HOU_RS03365	USA300HOU_RS03365	694851	695075
USA300HOU_RS03370	USA300HOU_RS03370 // USA300HOU_RS03365	USA300HOU_RS03370	695092	695295
USA300HOU_RS03375	USA300HOU_RS03410 // USA300HOU_RS03405 // USA300HOU_RS03400 // USA300HOU_RS03395 // USA300HOU_RS03390 // USA300HOU_RS03385 // USA300HOU_RS03380 // USA300HOU_RS03375	USA300HOU_RS03375	695454	696014
USA300HOU_RS03380	USA300HOU_RS03410 // USA300HOU_RS03405 // USA300HOU_RS03400 // USA300HOU_RS03395 // USA300HOU_RS03390 // USA300HOU_RS03385 // USA300HOU_RS03380 // USA300HOU_RS03375	USA300HOU_RS03380	696033	698435
USA300HOU_RS03385	USA300HOU_RS03410 // USA300HOU_RS03405 // USA300HOU_RS03400 // USA300HOU_RS03395 // USA300HOU_RS03390 // USA300HOU_RS03385 // USA300HOU_RS03380 // USA300HOU_RS03375	USA300HOU_RS03385	698422	698847
USA300HOU_RS03390	USA300HOU_RS03410 // USA300HOU_RS03405 // USA300HOU_RS03400 // USA300HOU_RS03395 // USA300HOU_RS03390 // USA300HOU_RS03385 // USA300HOU_RS03380 // USA300HOU_RS03375	USA300HOU_RS03390	698844	699188
USA300HOU_RS03395	USA300HOU_RS03410 // USA300HOU_RS03405 // USA300HOU_RS03400 // USA300HOU_RS03395 // USA300HOU_RS03390 // USA300HOU_RS03385 // USA300HOU_RS03380 // USA300HOU_RS03375	USA300HOU_RS03395	699178	700674
USA300HOU_RS03400	USA300HOU_RS03410 // USA300HOU_RS03405 // USA300HOU_RS03400 // USA300HOU_RS03395 // USA300HOU_RS03390 // USA300HOU_RS03385 // USA300HOU_RS03380 // USA300HOU_RS03375	USA300HOU_RS03400	700675	701157
USA300HOU_RS03405	USA300HOU_RS03410 // USA300HOU_RS03405 // USA300HOU_RS03400 // USA300HOU_RS03395 // USA300HOU_RS03390 // USA300HOU_RS03385 // USA300HOU_RS03380 // USA300HOU_RS03375	USA300HOU_RS03405	701154	701456
USA300HOU_RS03410	USA300HOU_RS03410 // USA300HOU_RS03405 // USA300HOU_RS03400 // USA300HOU_RS03395 // USA300HOU_RS03390 // USA300HOU_RS03385 // USA300HOU_RS03380 // USA300HOU_RS03375	USA300HOU_RS03410	701410	701868
USA300HOU_RS03415	USA300HOU_RS03415	USA300HOU_RS03415	702208	704250
USA300HOU_RS03420	USA300HOU_RS03430 // USA300HOU_RS03425 // USA300HOU_RS03420	USA300HOU_RS03420	705410	706339
USA300HOU_RS03425	USA300HOU_RS03430 // USA300HOU_RS03425 // USA300HOU_RS03420	USA300HOU_RS03425	706336	707172
USA300HOU_RS03430	USA300HOU_RS03430 // USA300HOU_RS03425 // USA300HOU_RS03420	USA300HOU_RS03430	707166	707909
USA300HOU_RS03435	USA300HOU_RS03435	USA300HOU_RS03435	708031	708675
USA300HOU_RS03440	USA300HOU_RS03440	USA300HOU_RS03440	708755	709507
USA300HOU_RS03445	USA300HOU_RS03445	USA300HOU_RS03445	709743	710507
USA300HOU_RS03450	USA300HOU_RS03450	USA300HOU_RS03450	710568	711362
USA300HOU_RS03455	USA300HOU_RS03455	USA300HOU_RS03455	711709	712521
USA300HOU_RS03460	USA300HOU_RS03465 // USA300HOU_RS03460	USA300HOU_RS03460	712620	713723
USA300HOU_RS03465	USA300HOU_RS03465 // USA300HOU_RS03460	USA300HOU_RS03465	713720	714781
USA300HOU_RS03470	USA300HOU_RS03470	USA300HOU_RS03470	714844	715242
USA300HOU_RS03475	USA300HOU_RS03475	USA300HOU_RS03475	715359	716654
USA300HOU_RS03480	USA300HOU_RS03480	USA300HOU_RS03480	717075	718802
USA300HOU_RS03485	USA300HOU_RS03485	USA300HOU_RS03485	719161	720390
USA300HOU_RS03490	USA300HOU_RS03490	USA300HOU_RS03490	720645	720737
USA300HOU_RS03495	USA300HOU_RS03495	USA300HOU_RS03495	720915	721748
USA300HOU_RS03500	USA300HOU_RS03510 // USA300HOU_RS03505 // USA300HOU_RS03500	USA300HOU_RS03500	722030	722827
USA300HOU_RS03505	USA300HOU_RS03510 // USA300HOU_RS03505 // USA300HOU_RS03500	USA300HOU_RS03505	722863	723867
USA300HOU_RS03510	USA300HOU_RS03510 // USA300HOU_RS03505 // USA300HOU_RS03500	USA300HOU_RS03510	723864	724880
USA300HOU_RS03515	USA300HOU_RS03515	USA300HOU_RS03515	725114	726082
USA300HOU_RS03520	USA300HOU_RS03525 // USA300HOU_RS03520	USA300HOU_RS03520	726124	726708
USA300HOU_RS03525	USA300HOU_RS03525 // USA300HOU_RS03520	USA300HOU_RS03525	726701	727063
USA300HOU_RS03530	USA300HOU_RS03530	USA300HOU_RS03530	727179	727676
USA300HOU_RS03535	USA300HOU_RS03535	USA300HOU_RS03535	728132	729199
USA300HOU_RS03540	USA300HOU_RS03540	USA300HOU_RS03540	729350	730393
USA300HOU_RS03545	USA300HOU_RS03545	USA300HOU_RS03545	730558	730746
USA300HOU_RS03550	USA300HOU_RS03550	USA300HOU_RS03550	730722	731150
USA300HOU_RS03555	USA300HOU_RS03555	USA300HOU_RS03555	731359	731865
USA300HOU_RS03560	USA300HOU_RS03570 // USA300HOU_RS03565 // USA300HOU_RS03560	USA300HOU_RS03560	731978	732901
USA300HOU_RS03565	USA300HOU_RS03570 // USA300HOU_RS03565 // USA300HOU_RS03560	USA300HOU_RS03565	732917	733591
USA300HOU_RS03570	USA300HOU_RS03570 // USA300HOU_RS03565 // USA300HOU_RS03560	USA300HOU_RS03570	733584	734624
USA300HOU_RS03575	USA300HOU_RS03580 // USA300HOU_RS03575	USA300HOU_RS03575	734768	735529
USA300HOU_RS03580	USA300HOU_RS03580 // USA300HOU_RS03575	USA300HOU_RS03580	735519	737408
USA300HOU_RS03585	USA300HOU_RS03590 // USA300HOU_RS03585	USA300HOU_RS03585	738133	738750
USA300HOU_RS03590	USA300HOU_RS03590 // USA300HOU_RS03585	USA300HOU_RS03590	738766	739773
USA300HOU_RS03595	USA300HOU_RS03595	USA300HOU_RS03595	740361	741158
USA300HOU_RS03600	USA300HOU_RS03600	USA300HOU_RS03600	741519	742163
USA300HOU_RS03605	USA300HOU_RS03605	USA300HOU_RS03605	742860	745009
USA300HOU_RS03610	USA300HOU_RS03610	USA300HOU_RS03610	745089	745514
USA300HOU_RS03615	USA300HOU_RS03620 // USA300HOU_RS03615	USA300HOU_RS03615	745704	746420
USA300HOU_RS03620	USA300HOU_RS03620 // USA300HOU_RS03615	USA300HOU_RS03620	746420	746893
USA300HOU_RS03625	USA300HOU_RS03625	USA300HOU_RS03625	746985	747101
USA300HOU_RS03630	USA300HOU_RS03630	USA300HOU_RS03630	747246	747890
USA300HOU_RS03635	USA300HOU_RS03635	USA300HOU_RS03635	748006	748872
USA300HOU_RS03640	USA300HOU_RS03640	USA300HOU_RS03640	748932	749027
USA300HOU_RS03645	USA300HOU_RS03650 // USA300HOU_RS03645	USA300HOU_RS03645	749073	750293
USA300HOU_RS03650	USA300HOU_RS03650 // USA300HOU_RS03645	USA300HOU_RS03650	750290	750778
USA300HOU_RS03655	USA300HOU_RS03655	USA300HOU_RS03655	750877	751566
USA300HOU_RS03660	USA300HOU_RS03660	USA300HOU_RS03660	751693	752136
USA300HOU_RS03665	USA300HOU_RS03665	USA300HOU_RS03665	752203	752598
USA300HOU_RS03670	USA300HOU_RS03670	USA300HOU_RS03670	752736	753035
USA300HOU_RS03675	USA300HOU_RS03675	USA300HOU_RS03675	753115	753657
USA300HOU_RS03680	USA300HOU_RS03690 // USA300HOU_RS03685 // USA300HOU_RS03680	USA300HOU_RS03680	753753	754319
USA300HOU_RS03685	USA300HOU_RS03690 // USA300HOU_RS03685 // USA300HOU_RS03680	USA300HOU_RS03685	754321	754779
USA300HOU_RS03690	USA300HOU_RS03690 // USA300HOU_RS03685 // USA300HOU_RS03680	USA300HOU_RS03690	754782	755465
USA300HOU_RS03695	USA300HOU_RS03695	USA300HOU_RS03695	755637	756512
USA300HOU_RS03700	USA300HOU_RS03705 // USA300HOU_RS03700	USA300HOU_RS03700	756725	758356
USA300HOU_RS03705	USA300HOU_RS03705 // USA300HOU_RS03700	USA300HOU_RS03705	758353	760026
USA300HOU_RS03710	USA300HOU_RS03710	USA300HOU_RS03710	760153	760596
USA300HOU_RS03715	USA300HOU_RS03715	USA300HOU_RS03715	760823	761749
USA300HOU_RS03720	USA300HOU_RS03725 // USA300HOU_RS03720	USA300HOU_RS03720	761852	762760
USA300HOU_RS03725	USA300HOU_RS03725 // USA300HOU_RS03720	USA300HOU_RS03725	762795	763082
USA300HOU_RS03730	USA300HOU_RS03730	USA300HOU_RS03730	763365	764918
USA300HOU_RS03735	USA300HOU_RS03735	USA300HOU_RS03735	765004	766377
USA300HOU_RS03740	USA300HOU_RS03745 // USA300HOU_RS03740	USA300HOU_RS03740	766532	766879
USA300HOU_RS03745	USA300HOU_RS03745 // USA300HOU_RS03740	USA300HOU_RS03745	766813	767430
USA300HOU_RS03750	USA300HOU_RS03750	USA300HOU_RS03750	767616	768038
USA300HOU_RS03755	USA300HOU_RS03755	USA300HOU_RS03755	768247	769413
USA300HOU_RS03760	USA300HOU_RS03760	USA300HOU_RS03760	769706	770158
USA300HOU_RS03765	USA300HOU_RS03765	USA300HOU_RS03765	770332	770814
USA300HOU_RS03770	USA300HOU_RS03780 // USA300HOU_RS03775 // USA300HOU_RS03770	USA300HOU_RS03770	771064	771828
USA300HOU_RS03775	USA300HOU_RS03780 // USA300HOU_RS03775 // USA300HOU_RS03770	USA300HOU_RS03775	771825	772745
USA300HOU_RS03780	USA300HOU_RS03780 // USA300HOU_RS03775 // USA300HOU_RS03770	USA300HOU_RS03780	772751	774709
USA300HOU_RS03790	USA300HOU_RS03790	USA300HOU_RS03790	775017	776198
USA300HOU_RS03795	USA300HOU_RS03795	USA300HOU_RS03795	776419	777768
USA300HOU_RS03800	USA300HOU_RS03800	USA300HOU_RS03800	777990	778829
USA300HOU_RS03805	USA300HOU_RS03805	USA300HOU_RS03805	778961	779944
USA300HOU_RS03810	USA300HOU_RS03815 // USA300HOU_RS03810	USA300HOU_RS03810	780016	781071
USA300HOU_RS03815	USA300HOU_RS03815 // USA300HOU_RS03810	USA300HOU_RS03815	781071	781757
USA300HOU_RS03820	USA300HOU_RS03820	USA300HOU_RS03820	781732	782205
USA300HOU_RS03825	USA300HOU_RS03825	USA300HOU_RS03825	782547	782987
USA300HOU_RS03830	USA300HOU_RS03830	USA300HOU_RS03830	783267	783851
USA300HOU_RS03835	USA300HOU_RS03845 // USA300HOU_RS03840 // USA300HOU_RS03835	USA300HOU_RS03835	783950	784663
USA300HOU_RS03840	USA300HOU_RS03845 // USA300HOU_RS03840 // USA300HOU_RS03835	USA300HOU_RS03840	784667	785086
USA300HOU_RS03845	USA300HOU_RS03845 // USA300HOU_RS03840 // USA300HOU_RS03835	USA300HOU_RS03845	785088	785756
USA300HOU_RS03850	USA300HOU_RS03860 // USA300HOU_RS03855 // USA300HOU_RS03850	USA300HOU_RS03850	786107	786700
USA300HOU_RS03855	USA300HOU_RS03860 // USA300HOU_RS03855 // USA300HOU_RS03850	USA300HOU_RS03855	786684	787835
USA300HOU_RS03860	USA300HOU_RS03860 // USA300HOU_RS03855 // USA300HOU_RS03850	USA300HOU_RS03860	787835	788443
USA300HOU_RS03865	USA300HOU_RS03865	USA300HOU_RS03865	788509	788715
USA300HOU_RS03870	USA300HOU_RS03875 // USA300HOU_RS03870	USA300HOU_RS03870	788803	789513
USA300HOU_RS03875	USA300HOU_RS03875 // USA300HOU_RS03870	USA300HOU_RS03875	789497	790501
USA300HOU_RS03880	USA300HOU_RS03880	USA300HOU_RS03880	790975	792915
USA300HOU_RS03890	USA300HOU_RS03895 // USA300HOU_RS03890	USA300HOU_RS03890	793186	795069
USA300HOU_RS03895	USA300HOU_RS03895 // USA300HOU_RS03890	USA300HOU_RS03895	795081	796862
USA300HOU_RS03900	USA300HOU_RS03905 // USA300HOU_RS03900	USA300HOU_RS03900	797084	798061
USA300HOU_RS03905	USA300HOU_RS03905 // USA300HOU_RS03900	USA300HOU_RS03905	798054	799568
USA300HOU_RS03910	USA300HOU_RS15120 // USA300HOU_RS03910	USA300HOU_RS03910	799808	800866
USA300HOU_RS03915	USA300HOU_RS03915	USA300HOU_RS03915	801217	801759
USA300HOU_RS03920	USA300HOU_RS03920	USA300HOU_RS03920	802383	803300
USA300HOU_RS03925	USA300HOU_RS03925	USA300HOU_RS03925	803391	803492
USA300HOU_RS03930	USA300HOU_RS03930	USA300HOU_RS03930	803570	805075
USA300HOU_RS03935	USA300HOU_RS03940 // USA300HOU_RS03935 // USA300HOU_RS15130	USA300HOU_RS03935	805416	805916
USA300HOU_RS03940	USA300HOU_RS03940 // USA300HOU_RS03935 // USA300HOU_RS15130	USA300HOU_RS03940	805936	806802
USA300HOU_RS03945	USA300HOU_RS03950 // USA300HOU_RS03945	USA300HOU_RS03945	807603	808001
USA300HOU_RS03950	USA300HOU_RS03950 // USA300HOU_RS03945	USA300HOU_RS03950	807964	810069
USA300HOU_RS03955	USA300HOU_RS03955	USA300HOU_RS03955	810187	811158
USA300HOU_RS03960	USA300HOU_RS03960	USA300HOU_RS03960	811291	811395
USA300HOU_RS03965	USA300HOU_RS03980 // USA300HOU_RS03975 // USA300HOU_RS03970 // USA300HOU_RS03965	USA300HOU_RS03965	811672	811827
USA300HOU_RS03970	USA300HOU_RS03980 // USA300HOU_RS03975 // USA300HOU_RS03970 // USA300HOU_RS03965	USA300HOU_RS03970	811866	812837
USA300HOU_RS03975	USA300HOU_RS03980 // USA300HOU_RS03975 // USA300HOU_RS03970 // USA300HOU_RS03965	USA300HOU_RS03975	812824	813780
USA300HOU_RS03980	USA300HOU_RS03980 // USA300HOU_RS03975 // USA300HOU_RS03970 // USA300HOU_RS03965	USA300HOU_RS03980	813777	814538
USA300HOU_RS03985	USA300HOU_RS03985	USA300HOU_RS03985	814657	815685
USA300HOU_RS03990	USA300HOU_RS03995 // USA300HOU_RS03990	USA300HOU_RS03990	816002	816316
USA300HOU_RS03995	USA300HOU_RS03995 // USA300HOU_RS03990	USA300HOU_RS03995	816334	817257
USA300HOU_RS04000	USA300HOU_RS04000	USA300HOU_RS04000	817384	817902
USA300HOU_RS04005	USA300HOU_RS04005	USA300HOU_RS04005	818022	818900
USA300HOU_RS04010	USA300HOU_RS04010	USA300HOU_RS04010	819054	819374
USA300HOU_RS04015	USA300HOU_RS04015	USA300HOU_RS04015	819799	820923
USA300HOU_RS04020	USA300HOU_RS04030 // USA300HOU_RS04025 // USA300HOU_RS04020	USA300HOU_RS04020	821112	822338
USA300HOU_RS04025	USA300HOU_RS04030 // USA300HOU_RS04025 // USA300HOU_RS04020	USA300HOU_RS04025	822352	822846
USA300HOU_RS04030	USA300HOU_RS04030 // USA300HOU_RS04025 // USA300HOU_RS04020	USA300HOU_RS04030	822864	823625
USA300HOU_RS04035	USA300HOU_RS04035	USA300HOU_RS04035	823821	824891
USA300HOU_RS04040	USA300HOU_RS04040	USA300HOU_RS04040	825209	826264
USA300HOU_RS04045	USA300HOU_RS04045	USA300HOU_RS04045	826434	827075
USA300HOU_RS04050	USA300HOU_RS04050	USA300HOU_RS04050	827219	828085
USA300HOU_RS04055	USA300HOU_RS04060 // USA300HOU_RS04055	USA300HOU_RS04055	828449	829531
USA300HOU_RS04060	USA300HOU_RS04060 // USA300HOU_RS04055	USA300HOU_RS04060	829524	830198
USA300HOU_RS04065	USA300HOU_RS04065	USA300HOU_RS04065	830259	830831
USA300HOU_RS04070	USA300HOU_RS04070	USA300HOU_RS04070	831245	833776
USA300HOU_RS04075	USA300HOU_RS04075	USA300HOU_RS04075	833818	833922
USA300HOU_RS04080	USA300HOU_RS04080	USA300HOU_RS04080	834206	835201
USA300HOU_RS04085	USA300HOU_RS04085	USA300HOU_RS04085	835355	835462
USA300HOU_RS04090	USA300HOU_RS04090	USA300HOU_RS04090	835610	836449
USA300HOU_RS04095	USA300HOU_RS04100 // USA300HOU_RS04095	USA300HOU_RS04095	836623	837273
USA300HOU_RS04100	USA300HOU_RS04100 // USA300HOU_RS04095	USA300HOU_RS04100	837270	837506
USA300HOU_RS04105	USA300HOU_RS04110 // USA300HOU_RS04105	USA300HOU_RS04105	837775	839760
USA300HOU_RS04110	USA300HOU_RS04110 // USA300HOU_RS04105	USA300HOU_RS04110	839768	842614
USA300HOU_RS04115	USA300HOU_RS04130 // USA300HOU_RS04125 // USA300HOU_RS04120 // USA300HOU_RS04115	USA300HOU_RS04115	843276	844208
USA300HOU_RS04120	USA300HOU_RS04130 // USA300HOU_RS04125 // USA300HOU_RS04120 // USA300HOU_RS04115	USA300HOU_RS04120	844214	845053
USA300HOU_RS04125	USA300HOU_RS04130 // USA300HOU_RS04125 // USA300HOU_RS04120 // USA300HOU_RS04115	USA300HOU_RS04125	845061	845546
USA300HOU_RS04130	USA300HOU_RS04130 // USA300HOU_RS04125 // USA300HOU_RS04120 // USA300HOU_RS04115	USA300HOU_RS04130	845554	846993
USA300HOU_RS04135	USA300HOU_RS04135	USA300HOU_RS04135	847060	847995
USA300HOU_RS04145	USA300HOU_RS04150 // USA300HOU_RS04145	USA300HOU_RS04145	848875	849786
USA300HOU_RS04150	USA300HOU_RS04150 // USA300HOU_RS04145	USA300HOU_RS04150	849783	850778
USA300HOU_RS04155	USA300HOU_RS04155	USA300HOU_RS04155	850888	851832
USA300HOU_RS04160	USA300HOU_RS04160	USA300HOU_RS04160	852148	852219
USA300HOU_RS04165	USA300HOU_RS04165	USA300HOU_RS04165	852406	852993
USA300HOU_RS04170	USA300HOU_RS04170	USA300HOU_RS04170	853236	854138
USA300HOU_RS04175	USA300HOU_RS04175	USA300HOU_RS04175	854840	855469
USA300HOU_RS04180	USA300HOU_RS04180	USA300HOU_RS04180	856229	857242
USA300HOU_RS04185	USA300HOU_RS04185	USA300HOU_RS04185	857295	858305
USA300HOU_RS04190	USA300HOU_RS04205 // USA300HOU_RS04200 // USA300HOU_RS04195 // USA300HOU_RS04190	USA300HOU_RS04190	858444	859634
USA300HOU_RS04195	USA300HOU_RS04205 // USA300HOU_RS04200 // USA300HOU_RS04195 // USA300HOU_RS04190	USA300HOU_RS04195	859756	860517
USA300HOU_RS04200	USA300HOU_RS04205 // USA300HOU_RS04200 // USA300HOU_RS04195 // USA300HOU_RS04190	USA300HOU_RS04200	860520	862037
USA300HOU_RS04205	USA300HOU_RS04205 // USA300HOU_RS04200 // USA300HOU_RS04195 // USA300HOU_RS04190	USA300HOU_RS04205	862167	863471
USA300HOU_RS04210	USA300HOU_RS04210	USA300HOU_RS04210	863811	864269
USA300HOU_RS04215	USA300HOU_RS04215	USA300HOU_RS04215	864336	864569
USA300HOU_RS04220	USA300HOU_RS04230 // USA300HOU_RS04225 // USA300HOU_RS04220	USA300HOU_RS04220	864685	865425
USA300HOU_RS04225	USA300HOU_RS04230 // USA300HOU_RS04225 // USA300HOU_RS04220	USA300HOU_RS04225	865459	867831
USA300HOU_RS04230	USA300HOU_RS04230 // USA300HOU_RS04225 // USA300HOU_RS04220	USA300HOU_RS04230	867853	868317
USA300HOU_RS04235	USA300HOU_RS04235	USA300HOU_RS04235	869091	869372
USA300HOU_RS04240	USA300HOU_RS04245 // USA300HOU_RS04240	USA300HOU_RS04240	869639	869962
USA300HOU_RS04245	USA300HOU_RS04245 // USA300HOU_RS04240	USA300HOU_RS04245	869978	870124
USA300HOU_RS04250	USA300HOU_RS04250	USA300HOU_RS04250	870316	871044
USA300HOU_RS04255	USA300HOU_RS04260 // USA300HOU_RS04255	USA300HOU_RS04255	871480	871635
USA300HOU_RS04260	USA300HOU_RS04260 // USA300HOU_RS04255	USA300HOU_RS04260	871643	872086
USA300HOU_RS04265	USA300HOU_RS04265	USA300HOU_RS04265	872303	872833
USA300HOU_RS04270	USA300HOU_RS04270	USA300HOU_RS04270	873096	875897
USA300HOU_RS04275	USA300HOU_RS04275	USA300HOU_RS04275	876118	877644
USA300HOU_RS04280	USA300HOU_RS04280	USA300HOU_RS04280	877995	879017
USA300HOU_RS04285	USA300HOU_RS04285	USA300HOU_RS04285	879352	879822
USA300HOU_RS04290	USA300HOU_RS04290	USA300HOU_RS04290	880163	880849
USA300HOU_RS04295	USA300HOU_RS04295	USA300HOU_RS04295	881206	881406
USA300HOU_RS04300	USA300HOU_RS04300	USA300HOU_RS04300	881902	882120
USA300HOU_RS04305	USA300HOU_RS04305	USA300HOU_RS04305	882182	882466
USA300HOU_RS04310	USA300HOU_RS04310	USA300HOU_RS04310	882554	883123
USA300HOU_RS04315	USA300HOU_RS04320 // USA300HOU_RS04315	USA300HOU_RS04315	883311	883499
USA300HOU_RS04320	USA300HOU_RS04320 // USA300HOU_RS04315	USA300HOU_RS04320	883528	883788
USA300HOU_RS04325	USA300HOU_RS04325	USA300HOU_RS04325	884129	884332
USA300HOU_RS04330	USA300HOU_RS04330	USA300HOU_RS04330	884329	884565
USA300HOU_RS04335	USA300HOU_RS04335	USA300HOU_RS04335	884811	885371
USA300HOU_RS04340	USA300HOU_RS04340	USA300HOU_RS04340	885444	886061
USA300HOU_RS04345	USA300HOU_RS04345	USA300HOU_RS04345	886216	886710
USA300HOU_RS04350	USA300HOU_RS04350	USA300HOU_RS04350	887109	887531
USA300HOU_RS04355	USA300HOU_RS04355	USA300HOU_RS04355	887679	888395
USA300HOU_RS04360	USA300HOU_RS04360	USA300HOU_RS04360	888478	889017
USA300HOU_RS04365	USA300HOU_RS04365	USA300HOU_RS04365	889167	889487
USA300HOU_RS04370	USA300HOU_RS04370	USA300HOU_RS04370	889631	889987
USA300HOU_RS04375	USA300HOU_RS04375	USA300HOU_RS04375	890145	890525
USA300HOU_RS04380	USA300HOU_RS04385 // USA300HOU_RS04380	USA300HOU_RS04380	890589	890702
USA300HOU_RS04385	USA300HOU_RS04385 // USA300HOU_RS04380	USA300HOU_RS04385	890704	891582
USA300HOU_RS04395	USA300HOU_RS04400 // USA300HOU_RS04395	USA300HOU_RS04395	892324	892710
USA300HOU_RS04400	USA300HOU_RS04400 // USA300HOU_RS04395	USA300HOU_RS04400	892703	892999
USA300HOU_RS04405	USA300HOU_RS04415 // USA300HOU_RS04410 // USA300HOU_RS04405	USA300HOU_RS04405	893249	894274
USA300HOU_RS04410	USA300HOU_RS04415 // USA300HOU_RS04410 // USA300HOU_RS04405	USA300HOU_RS04410	894267	894962
USA300HOU_RS04415	USA300HOU_RS04415 // USA300HOU_RS04410 // USA300HOU_RS04405	USA300HOU_RS04415	894980	895801
USA300HOU_RS04420	USA300HOU_RS04420	USA300HOU_RS04420	895944	897164
USA300HOU_RS04425	USA300HOU_RS04440 // USA300HOU_RS04435 // USA300HOU_RS04430 // USA300HOU_RS04425	USA300HOU_RS04425	897252	897980
USA300HOU_RS04430	USA300HOU_RS04440 // USA300HOU_RS04435 // USA300HOU_RS04430 // USA300HOU_RS04425	USA300HOU_RS04430	898004	898732
USA300HOU_RS04435	USA300HOU_RS04440 // USA300HOU_RS04435 // USA300HOU_RS04430 // USA300HOU_RS04425	USA300HOU_RS04435	898749	899207
USA300HOU_RS04440	USA300HOU_RS04440 // USA300HOU_RS04435 // USA300HOU_RS04430 // USA300HOU_RS04425	USA300HOU_RS04440	899219	899551
USA300HOU_RS04445	USA300HOU_RS04465 // USA300HOU_RS04460 // USA300HOU_RS04455 // USA300HOU_RS15185 // USA300HOU_RS04450 // USA300HOU_RS04445	USA300HOU_RS04445	899744	900007
USA300HOU_RS04450	USA300HOU_RS04465 // USA300HOU_RS04460 // USA300HOU_RS04455 // USA300HOU_RS15185 // USA300HOU_RS04450 // USA300HOU_RS04445	USA300HOU_RS04450	900000	900272
USA300HOU_RS04455	USA300HOU_RS04465 // USA300HOU_RS04460 // USA300HOU_RS04455 // USA300HOU_RS15185 // USA300HOU_RS04450 // USA300HOU_RS04445	USA300HOU_RS04455	900424	900627
USA300HOU_RS04460	USA300HOU_RS04465 // USA300HOU_RS04460 // USA300HOU_RS04455 // USA300HOU_RS15185 // USA300HOU_RS04450 // USA300HOU_RS04445	USA300HOU_RS04460	900629	901012
USA300HOU_RS04465	USA300HOU_RS04465 // USA300HOU_RS04460 // USA300HOU_RS04455 // USA300HOU_RS15185 // USA300HOU_RS04450 // USA300HOU_RS04445	USA300HOU_RS04465	901013	901261
USA300HOU_RS04470	USA300HOU_RS04470	USA300HOU_RS04470	901353	903725
USA300HOU_RS04475	USA300HOU_RS04485 // USA300HOU_RS04480 // USA300HOU_RS15190 // USA300HOU_RS04475	USA300HOU_RS04475	904396	904740
USA300HOU_RS04480	USA300HOU_RS04485 // USA300HOU_RS04480 // USA300HOU_RS15190 // USA300HOU_RS04475	USA300HOU_RS04480	904965	905171
USA300HOU_RS04485	USA300HOU_RS04485 // USA300HOU_RS04480 // USA300HOU_RS15190 // USA300HOU_RS04475	USA300HOU_RS04485	905158	906216
