	BioProject	BioSample	Body_Site	project	base_media	condition	growth_phase	isolate	reference_condition	skip	OD-600	Genetic Changes; Name	NOTES	InsertDev	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	LibraryStrategy	Manual Strain	Model	Platform	Project	ProjectID	ReleaseDate	Run	SRAStudy	Sample	ScientificName	Submission	TaxID	class_tax_id	species	species_tax_id	strain_tax_id	R1	R2	Swift	Treatment	full_name	passed_fastqc	passed_global_correlation	passed_number_replicates	passed_reads_mapped_to_CDS	passed_similar_replicates	condition_name	project_name	CenterName	Notes	SRA ID	Biosample	GEO Series	GEO Sample	PMID
SRX502155	PRJNA242859	SAMN02709625		TEX	BHI	stationary		LAC		TRUE		WT	PMID: 26717500	0	0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina Genome Analyzer IIx	ILLUMINA		242859	1/6/2015 17:34	SRR1206346;SRR1206347	SRP040657	SRS583131	Staphylococcus aureus	SRA149649	1280	91061	Staphylococcus aureus	1280	1280						True	True		True				GEO						
SRX973266	PRJNA279863	SAMN03451034		TEX	Treatment	Treatment		LAC		TRUE		WT	JE2: TEX Treatment	0	0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2500	ILLUMINA		279863	5/4/2016 15:55	SRR1946578	SRP056689	SRS888492	Staphylococcus aureus	SRA249188	1280	91061	Staphylococcus aureus	1280	1280						True	True		True				GEO						
SRX973267	PRJNA279863	SAMN03451036		TEX	Treatment	Treatment		LAC		TRUE		WT	JE2: TEX Treatment	0	0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2500	ILLUMINA		279863	5/4/2016 15:55	SRR1946579	SRP056689	SRS888491	Staphylococcus aureus	SRA249188	1280	91061	Staphylococcus aureus	1280	1280						True	True		True				GEO						
SRX973268	PRJNA279863	SAMN03451035		TEX	Treatment	Treatment		LAC		TRUE		WT	JE2: TEX Treatment	0	0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2500	ILLUMINA		279863	5/4/2016 15:55	SRR1946580	SRP056689	SRS888490	Staphylococcus aureus	SRA249188	1280	91061	Staphylococcus aureus	1280	1280						True	True		True				GEO						
SRX2159156	PRJNA341717	SAMN05727820		Co-culture with P. aeruginosa	Unknown	Biofilm	Biofilm	TCH1516		TRUE		WT	TCH1516 Co-culture with P. aeruginosa; small=special protocol for small RNA retention	0	0	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		341717	9/17/2016 10:10	SRR4237898	SRP089686	SRS1688328	Staphylococcus aureus	SRA467720	1280	91061	Staphylococcus aureus	1280	1280						True	True		True										
SRX2159167	PRJNA341717	SAMN05727820		Co-culture with P. aeruginosa	Unknown	Biofilm_small	Biofilm	TCH1516		TRUE		WT	TCH1516 Co-culture with P. aeruginosa; small=special protocol for small RNA retention	0	0	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		341717	9/17/2016 10:11	SRR4237897	SRP089686	SRS1688328	Staphylococcus aureus	SRA467720	1280	91061	Staphylococcus aureus	1280	1280						True	True		True										
SRX2159172	PRJNA341717	SAMN05727820		Co-culture with P. aeruginosa	Unknown	Biofilm_small	Biofilm	TCH1516		TRUE		WT	TCH1516 Co-culture with P. aeruginosa; small=special protocol for small RNA retention	0	0	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		341717	9/17/2016 10:15	SRR4237909	SRP089686	SRS1688328	Staphylococcus aureus	SRA467720	1280	91061	Staphylococcus aureus	1280	1280						True	True		True										
SRX2159173	PRJNA341717	SAMN05727870		Co-culture with P. aeruginosa	Unknown	Planktonic_control	Exponential	TCH1516		TRUE		WT	TCH1516 Co-culture with P. aeruginosa; small=special protocol for small RNA retention	0	0	PAIRED	RT-PCR	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		341717	9/17/2016 10:19	SRR4237914	SRP089686	SRS1688328	Staphylococcus aureus	SRA467720	1280	91061	Staphylococcus aureus	1280	1280						True	True		True										
SRX2314409	PRJNA352052	SAMN05961011		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D3_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784178	SRP092401	SRS1771332	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314410	PRJNA352052	SAMN05961010		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D3_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784179	SRP092401	SRS1771333	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314411	PRJNA352052	SAMN05961009		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D15_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784180	SRP092401	SRS1771334	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314412	PRJNA352052	SAMN05961008		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D15_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784181	SRP092401	SRS1771335	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314413	PRJNA352052	SAMN05961007		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D17_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784182	SRP092401	SRS1771336	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314414	PRJNA352052	SAMN05961006		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D17_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784183	SRP092401	SRS1771337	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314415	PRJNA352052	SAMN05961005		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D22_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784184	SRP092401	SRS1771338	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314416	PRJNA352052	SAMN05961004		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D22_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784185	SRP092401	SRS1771339	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314417	PRJNA352052	SAMN05961003		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D29_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784186	SRP092401	SRS1771340	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314418	PRJNA352052	SAMN05961002		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D29_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784187	SRP092401	SRS1771341	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314419	PRJNA352052	SAMN05961001		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D30_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784188	SRP092401	SRS1771342	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314420	PRJNA352052	SAMN05961000		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D30_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784189	SRP092401	SRS1771344	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314421	PRJNA352052	SAMN05960999		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D32_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784190	SRP092401	SRS1771343	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314422	PRJNA352052	SAMN05960998		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D32_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784191	SRP092401	SRS1771345	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314423	PRJNA352052	SAMN05960997		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D37A_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784192	SRP092401	SRS1771346	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314424	PRJNA352052	SAMN05960996		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D37A_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784193	SRP092401	SRS1771347	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314425	PRJNA352052	SAMN05960995		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D53_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784194	SRP092401	SRS1771348	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314426	PRJNA352052	SAMN05960994		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D53_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784195	SRP092401	SRS1771349	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314427	PRJNA352052	SAMN05960993		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D61_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784196	SRP092401	SRS1771350	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314428	PRJNA352052	SAMN05960992		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D61_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784197	SRP092401	SRS1771351	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314429	PRJNA352052	SAMN05960991		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D66_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784198	SRP092401	SRS1771352	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314430	PRJNA352052	SAMN05960990		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D66_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784199	SRP092401	SRS1771353	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314431	PRJNA352052	SAMN05961036		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D69_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784200	SRP092401	SRS1771354	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314432	PRJNA352052	SAMN05961035		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Exponential	CI_D69_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784201	SRP092401	SRS1771355	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314433	PRJNA352052	SAMN05960989		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D3_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784202	SRP092401	SRS1771356	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314434	PRJNA352052	SAMN05961034		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D3_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784203	SRP092401	SRS1771357	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314435	PRJNA352052	SAMN05961029		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D15_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784204	SRP092401	SRS1771358	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314436	PRJNA352052	SAMN05961030		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D15_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784205	SRP092401	SRS1771359	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314437	PRJNA352052	SAMN05961033		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D17_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784206	SRP092401	SRS1771360	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314438	PRJNA352052	SAMN05961032		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D17_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784207	SRP092401	SRS1771361	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314439	PRJNA352052	SAMN05961031		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D22_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784208	SRP092401	SRS1771362	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314440	PRJNA352052	SAMN05961028		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D22_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784209	SRP092401	SRS1771363	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314441	PRJNA352052	SAMN05961027		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D29_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784210	SRP092401	SRS1771364	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314442	PRJNA352052	SAMN05961026		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D29_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784211	SRP092401	SRS1771365	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314443	PRJNA352052	SAMN05961025		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D30_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784212	SRP092401	SRS1771366	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314444	PRJNA352052	SAMN05961024		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D30_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784213	SRP092401	SRS1771368	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314445	PRJNA352052	SAMN05961023		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D32_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784214	SRP092401	SRS1771367	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314446	PRJNA352052	SAMN05961022		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D32_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784215	SRP092401	SRS1771369	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314447	PRJNA352052	SAMN05961021		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D37A_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784216	SRP092401	SRS1771370	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314448	PRJNA352052	SAMN05961020		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D37A_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784217	SRP092401	SRS1771371	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314449	PRJNA352052	SAMN05961019		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D53_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784218	SRP092401	SRS1771372	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314450	PRJNA352052	SAMN05961018		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D53_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784219	SRP092401	SRS1771373	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314451	PRJNA352052	SAMN05961017		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D61_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784220	SRP092401	SRS1771374	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314452	PRJNA352052	SAMN05961016		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D61_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784221	SRP092401	SRS1771375	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314453	PRJNA352052	SAMN05961015		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D66_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784222	SRP092401	SRS1771376	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314454	PRJNA352052	SAMN05961014		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D66_HA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784223	SRP092401	SRS1771377	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314455	PRJNA352052	SAMN05961013		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D69_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784224	SRP092401	SRS1771378	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2314456	PRJNA352052	SAMN05961012		Prolonged intra-neutrophil survival as an adaptive strategy in hospital environment		CI	Stationary	CI_D69_CA		TRUE		Clinical Isolate		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		352052	11/3/2016 16:17	SRR4784225	SRP092401	SRS1771379	Staphylococcus aureus subsp. aureus USA300	SRA488100	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
SRX2343957	PRJNA353307	SAMN06013839		delta_ftsHA 	TSB	Control	Exponential	USA300-P23	Control			WT	no-plasmids; USA300_p23	0	0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	NextSeq 500	ILLUMINA		353307	9/15/2017 16:28	SRR5014659	SRP093306	SRS1796590	Staphylococcus aureus subsp. aureus USA300	SRA492670	367830	91061	Staphylococcus aureus	1280	367830						True	True		True										
