	BioProject	BioSample	Body_Site	Replicate	Title	Media	Condition	Growth Phase	Isolate	Growth Rate	OD-600	Genetic Changes; Name	NOTES	Reference	InsertDev	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	LibraryStrategy	Manual Strain	Unnamed: 23	Model	Platform	Project	ProjectID	ReleaseDate	Run	SRAStudy	Sample	ScientificName	Submission	TaxID	class_tax_id	species	species_tax_id	strain_tax_id	R1	R2	Swift	Treatment	full_name	passed_fastqc	passed_global_correlation	passed_number_replicates	passed_reads_mapped_to_CDS	passed_similar_replicates	condition_name	project_name	reference_condition	CenterName	ReferenceGenome	Notes	SRA ID	Biosample	GEO Series	GEO Sample	PMID
SRX3062752	PRJNA397197	SAMN07450884		3.0	 Linoleic Acid Stimulation of WT Staphylococcus aureus USA300 NRS384	TSB	Control	Exponential	NRS384			d-hsdR+d-mcr	NRS384 is sames as USA300-0114; the two genetic changes makes the strain easier to transform.	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 2500	ILLUMINA		397197.0	11/15/2017 16:28	SRR5901162	SRP114855	SRS2407888	Staphylococcus aureus USA300-0114	SRA596558	1385527.0	91061.0	Staphylococcus aureus	1280.0	1385527.0						True	True		True												
SRX3062753	PRJNA397197	SAMN07450883		1.0	 Linoleic Acid Stimulation of WT Staphylococcus aureus USA300 NRS384	TSB	10µM linoleic acid	Exponential	NRS384			d-hsdR+d-mcr	NRS384 is sames as USA300-0114; the two genetic changes makes the strain easier to transform.	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 2500	ILLUMINA		397197.0	11/15/2017 16:28	SRR5901163	SRP114855	SRS2407887	Staphylococcus aureus USA300-0114	SRA596558	1385527.0	91061.0	Staphylococcus aureus	1280.0	1385527.0						True	True		True												
SRX3062754	PRJNA397197	SAMN07450882		2.0	 Linoleic Acid Stimulation of WT Staphylococcus aureus USA300 NRS384	TSB	10µM linoleic acid	Exponential	NRS384			d-hsdR+d-mcr	NRS384 is sames as USA300-0114; the two genetic changes makes the strain easier to transform.	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 2500	ILLUMINA		397197.0	11/15/2017 16:28	SRR5901164	SRP114855	SRS2407886	Staphylococcus aureus USA300-0114	SRA596558	1385527.0	91061.0	Staphylococcus aureus	1280.0	1385527.0						True	True		True												
SRX3062755	PRJNA397197	SAMN07450880		3.0	 Linoleic Acid Stimulation of WT Staphylococcus aureus USA300 NRS384	TSB	10µM linoleic acid	Exponential	NRS384			d-hsdR+d-mcr	NRS384 is sames as USA300-0114; the two genetic changes makes the strain easier to transform.	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 2500	ILLUMINA		397197.0	11/15/2017 16:28	SRR5901165	SRP114855	SRS2407885	Staphylococcus aureus USA300-0114	SRA596558	1385527.0	91061.0	Staphylococcus aureus	1280.0	1385527.0						True	True		True												
SRX3063110	PRJNA397207	SAMN07450930		1.0	RNA-seq of Wildtype Staphylococcus aureus USA300 NRS38	TSB	37C	Exponential	NRS384			d-hsdR+d-mcr	NRS384 is sames as USA300-0114; the two genetic changes makes the strain easier to transform.	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 2500	ILLUMINA		397207.0	11/15/2017 16:30	SRR5901540	SRP114862	SRS2408213	Staphylococcus aureus USA300-0114	SRA596578	1385527.0	91061.0	Staphylococcus aureus	1280.0	1385527.0						True	True		True												
SRX3063111	PRJNA397207	SAMN07450929		2.0	RNA-seq of Wildtype Staphylococcus aureus USA300 NRS38	TSB	37C	Exponential	NRS384			d-hsdR+d-mcr	NRS384 is sames as USA300-0114; the two genetic changes makes the strain easier to transform.	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 2500	ILLUMINA		397207.0	11/15/2017 16:30	SRR5901541	SRP114862	SRS2408212	Staphylococcus aureus USA300-0114	SRA596578	1385527.0	91061.0	Staphylococcus aureus	1280.0	1385527.0						True	True		True												
SRX3063112	PRJNA397207	SAMN07450928		3.0	RNA-seq of Wildtype Staphylococcus aureus USA300 NRS38	TSB	37C	Exponential	NRS384			d-hsdR+d-mcr	NRS384 is sames as USA300-0114; the two genetic changes makes the strain easier to transform.	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 2500	ILLUMINA		397207.0	11/15/2017 16:30	SRR5901542	SRP114862	SRS2408211	Staphylococcus aureus USA300-0114	SRA596578	1385527.0	91061.0	Staphylococcus aureus	1280.0	1385527.0						True	True		True												
SRX3063113	PRJNA397207	SAMN07450927		1.0	RNA-seq of Wildtype Staphylococcus aureus USA300 NRS38	TSB	30C	Exponential	NRS384			d-hsdR+d-mcr	NRS384 is sames as USA300-0114; the two genetic changes makes the strain easier to transform.	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 2500	ILLUMINA		397207.0	11/15/2017 16:30	SRR5901543	SRP114862	SRS2408210	Staphylococcus aureus USA300-0114	SRA596578	1385527.0	91061.0	Staphylococcus aureus	1280.0	1385527.0						True	True		True												
SRX3063114	PRJNA397207	SAMN07450926		2.0	RNA-seq of Wildtype Staphylococcus aureus USA300 NRS38	TSB	30C	Exponential	NRS384			d-hsdR+d-mcr	NRS384 is sames as USA300-0114; the two genetic changes makes the strain easier to transform.	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 2500	ILLUMINA		397207.0	11/15/2017 16:30	SRR5901544	SRP114862	SRS2408209	Staphylococcus aureus USA300-0114	SRA596578	1385527.0	91061.0	Staphylococcus aureus	1280.0	1385527.0						True	True		True												
SRX3063115	PRJNA397207	SAMN07450925		3.0	RNA-seq of Wildtype Staphylococcus aureus USA300 NRS38	TSB	30C	Exponential	NRS384			d-hsdR+d-mcr	NRS384 is sames as USA300-0114; the two genetic changes makes the strain easier to transform.	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 2500	ILLUMINA		397207.0	11/15/2017 16:30	SRR5901545	SRP114862	SRS2408208	Staphylococcus aureus USA300-0114	SRA596578	1385527.0	91061.0	Staphylococcus aureus	1280.0	1385527.0						True	True		True												
SRX3202113	PRJNA408150	SAMN07676180		1.0	Changes in relative transcript amounts caused by treatment of streptozotocin and floxuridine	TSB	Control	Exponential	USA300-P23			WT	no-plasmids; USA300_p23	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		NextSeq 500	ILLUMINA		408150.0	2/13/2018 16:10	SRR6055185	SRP118369	SRS2528619	Staphylococcus aureus	SRA610867	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
SRX3202114	PRJNA408150	SAMN07676975		2.0	Changes in relative transcript amounts caused by treatment of streptozotocin and floxuridine	TSB	Control	Exponential	USA300-P23			WT	no-plasmids; USA300_p23	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		NextSeq 500	ILLUMINA		408150.0	2/13/2018 16:10	SRR6055186	SRP118369	SRS2528620	Staphylococcus aureus	SRA610867	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
SRX3202115	PRJNA408150	SAMN07676974		3.0	Changes in relative transcript amounts caused by treatment of streptozotocin and floxuridine	TSB	Control	Exponential	USA300-P23			WT	no-plasmids; USA300_p23	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		NextSeq 500	ILLUMINA		408150.0	2/13/2018 16:10	SRR6055187	SRP118369	SRS2528621	Staphylococcus aureus	SRA610867	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
SRX3202116	PRJNA408150	SAMN07676973		1.0	Changes in relative transcript amounts caused by treatment of streptozotocin and floxuridine	TSB	1ug/mL floxuridine	Exponential	USA300-P23			WT	no-plasmids; USA300_p23	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		NextSeq 500	ILLUMINA		408150.0	2/13/2018 16:10	SRR6055188	SRP118369	SRS2528622	Staphylococcus aureus	SRA610867	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
SRX3202117	PRJNA408150	SAMN07676972		2.0	Changes in relative transcript amounts caused by treatment of streptozotocin and floxuridine	TSB	1ug/mL floxuridine	Exponential	USA300-P23			WT	no-plasmids; USA300_p23	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		NextSeq 500	ILLUMINA		408150.0	2/13/2018 16:10	SRR6055189	SRP118369	SRS2528623	Staphylococcus aureus	SRA610867	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
SRX3202118	PRJNA408150	SAMN07676971		3.0	Changes in relative transcript amounts caused by treatment of streptozotocin and floxuridine	TSB	1ug/mL floxuridine	Exponential	USA300-P23			WT	no-plasmids; USA300_p23	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		NextSeq 500	ILLUMINA		408150.0	2/13/2018 16:10	SRR6055190	SRP118369	SRS2528624	Staphylococcus aureus	SRA610867	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
SRX3202119	PRJNA408150	SAMN07676970		1.0	Changes in relative transcript amounts caused by treatment of streptozotocin and floxuridine	TSB	1ug/mL streptozotocin	Exponential	USA300-P23			WT	no-plasmids; USA300_p23	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		NextSeq 500	ILLUMINA		408150.0	2/13/2018 16:10	SRR6055191	SRP118369	SRS2528625	Staphylococcus aureus	SRA610867	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
SRX3202120	PRJNA408150	SAMN07676969		2.0	Changes in relative transcript amounts caused by treatment of streptozotocin and floxuridine	TSB	1ug/mL streptozotocin	Exponential	USA300-P23			WT	no-plasmids; USA300_p23	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		NextSeq 500	ILLUMINA		408150.0	2/13/2018 16:10	SRR6055184	SRP118369	SRS2528618	Staphylococcus aureus	SRA610867	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
SRX3202121	PRJNA408150	SAMN07676968		3.0	Changes in relative transcript amounts caused by treatment of streptozotocin and floxuridine	TSB	1ug/mL streptozotocin	Exponential	USA300-P23			WT	no-plasmids; USA300_p23	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		NextSeq 500	ILLUMINA		408150.0	2/13/2018 16:10	SRR6055192	SRP118369	SRS2528626	Staphylococcus aureus	SRA610867	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
SRX3485275	PRJNA470935	SAMN08200716		2.0	First S. aureus ICA model	CA-MHB	0.0625ug/mL Nafcillin	Exponential	TCH1516		0.3665	WT	First S. aureus ICA model	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq			Illumina HiSeq 4000	ILLUMINA		470935.0	11/15/2018 20:14	SRR8195163	SRP145347	SRS3283680	Staphylococcus aureus	SRA810259	1280.0			1208.0							True	True		True												
SRX3485282	PRJNA470935	SAMN08200716		3.0	First S. aureus ICA model	CA-MHB	Control	Exponential	TCH1516		0.373	WT	First S. aureus ICA model	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq			Illumina HiSeq 4000	ILLUMINA		470935.0	11/15/2018 20:14	SRR8195164	SRP145347	SRS3283680	Staphylococcus aureus	SRA810259	1280.0			1208.0							True	True		True												
SRX3485284	PRJNA470935	SAMN08200716		2.0	First S. aureus ICA model	CA-MHB	0.5ug/mL Nafcillin	Exponential	TCH1516		0.3504	WT	First S. aureus ICA model	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq			Illumina HiSeq 4000	ILLUMINA		470935.0	11/15/2018 20:14	SRR8195168	SRP145347	SRS3283680	Staphylococcus aureus	SRA810259	1280.0			1208.0							True	True		True												
SRX3760883	PRJNA422941	SAMN08200716		2.0	First S. aureus ICA model	RPMI+10%LB	0.031ug/mL Nafcillin	Exponential	TCH1516		0.7385	WT	First S. aureus ICA model	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq			Illumina HiSeq 4000	ILLUMINA		422941.0	5/23/2018 16:38	SRR7203884	SRP127172	SRS2770989	Staphylococcus aureus	SRA704728	1280.0			1208.0							True	True		True												
SRX3760884	PRJNA422941	SAMN08200716		2.0	First S. aureus ICA model	RPMI+10%LB	0.031ug/mL Nafcillin	Exponential	TCH1516		0.8425	WT	First S. aureus ICA model	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq			Illumina HiSeq 4000	ILLUMINA		422941.0	5/23/2018 16:46	SRR7203886	SRP127172	SRS2770989	Staphylococcus aureus	SRA704728	1280.0			1208.0							True	True		True												
SRX3760886	PRJNA422941	SAMN08200716		2.0	First S. aureus ICA model	RPMI+10%LB	Control	Exponential	TCH1516		0.5626	WT	First S. aureus ICA model	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq			Illumina HiSeq 4000	ILLUMINA		422941.0	5/23/2018 16:38	SRR7203888	SRP127172	SRS2770989	Staphylococcus aureus	SRA704728	1280.0			1208.0							True	True		True												
SRX3760889	PRJNA422941	SAMN08200716		2.0	First S. aureus ICA model	RPMI+10%LB	0.0625ug/mL Nafcillin	Exponential	TCH1516		0.6509999999999999	WT	First S. aureus ICA model	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq			Illumina HiSeq 4000	ILLUMINA		422941.0	5/23/2018 16:38	SRR7203890	SRP127172	SRS2770989	Staphylococcus aureus	SRA704728	1280.0			1208.0							True	True		True												
SRX3760890	PRJNA422941	SAMN08200716		3.0	First S. aureus ICA model	RPMI+10%LB	0.0625ug/mL Nafcillin	Exponential	TCH1516		0.6047	WT	First S. aureus ICA model	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq			Illumina HiSeq 4000	ILLUMINA		422941.0	5/23/2018 16:38	SRR7203892	SRP127172	SRS2770989	Staphylococcus aureus	SRA704728	1280.0			1208.0							True	True		True												
SRX3760891	PRJNA422941	SAMN08200716		2.0	First S. aureus ICA model	RPMI+10%LB	Control	Exponential	TCH1516		0.3634	WT	First S. aureus ICA model	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq			Illumina HiSeq 4000	ILLUMINA		422941.0	5/23/2018 16:38	SRR7203895	SRP127172	SRS2770989	Staphylococcus aureus	SRA704728	1280.0			1208.0							True	True		True												
SRX4112964	PRJNA422941	SAMN08200716		3.0	First S. aureus ICA model	CA-MHB	PreCulture	Exponential	TCH1516		0.3686	WT	First S. aureus ICA model	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq			Illumina HiSeq 4000	ILLUMINA		422941.0	5/23/2018 16:38	SRR7203896	SRP127172	SRS2770989	Staphylococcus aureus	SRA704728	1280.0			1208.0							True	True		True												
SRX4112965	PRJNA422941	SAMN08200716		3.0	First S. aureus ICA model	CA-MHB	PreCulture	Exponential	TCH1516		0.3575	WT	First S. aureus ICA model	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq			Illumina HiSeq 4000	ILLUMINA		422941.0	3/3/2018 19:19	SRR6802182	SRP127172	SRS2770989	Staphylococcus aureus	SRA663967	1280.0			1208.0							True	True		True												
SRX4112968	PRJNA422941	SAMN08200716		2.0	First S. aureus ICA model	CA-MHB	1.0ug/mL Nafcillin	Exponential	TCH1516		0.291	WT	First S. aureus ICA model	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq			Illumina HiSeq 4000	ILLUMINA		422941.0	3/3/2018 19:18	SRR6802183	SRP127172	SRS2770989	Staphylococcus aureus	SRA663967	1280.0			1208.0							True	True		True												
SRX4112970	PRJNA422941	SAMN08200716		3.0	First S. aureus ICA model	CA-MHB	CA-MHB:0.5ug/mL Nafcillin	Exponential	TCH1516		0.3308	WT	First S. aureus ICA model	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq			Illumina HiSeq 4000	ILLUMINA		422941.0	3/3/2018 19:18	SRR6802184	SRP127172	SRS2770989	Staphylococcus aureus	SRA663967	1280.0			1208.0							True	True		True												
SRX4112972	PRJNA422941	SAMN08200716		2.0	First S. aureus ICA model	CA-MHB	1.0ug/mL Nafcillin	Exponential	TCH1516		0.4387	WT	First S. aureus ICA model	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq			Illumina HiSeq 4000	ILLUMINA		422941.0	3/3/2018 19:19	SRR6802187	SRP127172	SRS2770989	Staphylococcus aureus	SRA663967	1280.0			1208.0							True	True		True												
SRX4112974	PRJNA422941	SAMN08200716		2.0	First S. aureus ICA model	CA-MHB	Control	Exponential	TCH1516		0.3358	WT	First S. aureus ICA model	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq			Illumina HiSeq 4000	ILLUMINA		422941.0	3/3/2018 19:21	SRR6802189	SRP127172	SRS2770989	Staphylococcus aureus	SRA663967	1280.0			1208.0							True	True		True												
SRX4112976	PRJNA422941	SAMN08200716		3.0	First S. aureus ICA model	CA-MHB	0.0625ug/mL Nafcillin	Exponential	TCH1516		0.3627	WT	First S. aureus ICA model	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq			Illumina HiSeq 4000	ILLUMINA		422941.0	3/3/2018 19:19	SRR6802190	SRP127172	SRS2770989	Staphylococcus aureus	SRA663967	1280.0			1208.0							True	True		True												
SRX4910575	PRJNA497790	SAMN10266262		1.0	 RNASeq analysis of untreated versus treated	MHB	Control	Exponential	NRS384		0.4	WT	PMID: 30538186; No isolate name	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 2500	ILLUMINA		497790.0	10/23/2018 16:43	SRR8083527	SRP166268	SRS3956306	Staphylococcus aureus	SRA796449	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
SRX4910576	PRJNA497790	SAMN10266261		2.0	 RNASeq analysis of untreated versus treated	MHB	Control	Exponential	NRS384		0.4	WT	PMID: 30538186; No isolate name	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 2500	ILLUMINA		497790.0	10/23/2018 16:43	SRR8083526	SRP166268	SRS3956304	Staphylococcus aureus	SRA796449	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
SRX4910577	PRJNA497790	SAMN10266260		3.0	 RNASeq analysis of untreated versus treated	MHB	Control	Exponential	NRS384		0.4	WT	PMID: 30538186; No isolate name	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 2500	ILLUMINA		497790.0	10/23/2018 16:43	SRR8083525	SRP166268	SRS3956305	Staphylococcus aureus	SRA796449	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
SRX4910578	PRJNA497790	SAMN10266259		1.0	 RNASeq analysis of untreated versus treated	MHB	6uM PBT2 + 600 μM ZnSO4	Exponential	NRS384		0.4	WT	PMID: 30538186; No isolate name	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 2500	ILLUMINA		497790.0	10/23/2018 16:43	SRR8083524	SRP166268	SRS3956303	Staphylococcus aureus	SRA796449	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
SRX4910579	PRJNA497790	SAMN10266258		2.0	 RNASeq analysis of untreated versus treated	MHB	6uM PBT2 + 600 μM ZnSO4	Exponential	NRS384		0.4	WT	PMID: 30538186; No isolate name	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 2500	ILLUMINA		497790.0	10/23/2018 16:43	SRR8083522	SRP166268	SRS3956301	Staphylococcus aureus	SRA796449	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
SRX4910580	PRJNA497790	SAMN10266257		3.0	 RNASeq analysis of untreated versus treated	MHB	6uM PBT2 + 600 μM ZnSO4	Exponential	NRS384		0.4	WT	PMID: 30538186; No isolate name	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 2500	ILLUMINA		497790.0	10/23/2018 16:43	SRR8083523	SRP166268	SRS3956302	Staphylococcus aureus	SRA796449	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
SRX5504113	PRJNA526511	SAMN08200716		1.0	First S. aureus ICA model	RPMI+10%LB	Control	Exponential	TCH1516			WT		TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 4000	ILLUMINA	PRJNA526511	526511.0	3/11/2019 18:30	SRR8709675	SRP188115	SRS2770989	Staphylococcus aureus	SRA858526	1280.0		1208								True	True		True												
SRX5504114	PRJNA526511	SAMN08200716		1.0	First S. aureus ICA model	RPMI+10%LB	0.375ug/mL Vancomycin	Exponential	TCH1516			WT		TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 4000	ILLUMINA	PRJNA526511	526511.0	3/11/2019 18:30	SRR8709676	SRP188115	SRS2770989	Staphylococcus aureus	SRA858526	1280.0		1208								True	True		True												
SRX5504115	PRJNA526511	SAMN08200716		1.0	First S. aureus ICA model	CA-MHB	0.7ug/mL Vancomycin	Exponential	TCH1516			WT		TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 4000	ILLUMINA	PRJNA526511	526511.0	3/11/2019 18:30	SRR8709677	SRP188115	SRS2770989	Staphylococcus aureus	SRA858526	1280.0		1208								True	True		True												
SRX5504116	PRJNA526511	SAMN08200716		1.0	First S. aureus ICA model	RPMI+10%LB	PreCulture	Exponential	TCH1516			WT		TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 4000	ILLUMINA	PRJNA526511	526511.0	3/11/2019 18:30	SRR8709678	SRP188115	SRS2770989	Staphylococcus aureus	SRA858526	1280.0		1208								True	True		True												
SRX5504117	PRJNA526511	SAMN08200716		1.0	First S. aureus ICA model	CA-MHB	0.45ug/mL Vancomycin	Exponential	TCH1516			WT		TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 4000	ILLUMINA	PRJNA526511	526511.0	3/11/2019 18:30	SRR8709679	SRP188115	SRS2770989	Staphylococcus aureus	SRA858526	1280.0		1208								True	True		True												
SRX5504118	PRJNA526511	SAMN08200716		1.0	First S. aureus ICA model	CA-MHB	0.65ug/mL Vancomycin	Exponential	TCH1516			WT		TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 4000	ILLUMINA	PRJNA526511	526511.0	3/11/2019 18:30	SRR8709680	SRP188115	SRS2770989	Staphylococcus aureus	SRA858526	1280.0		1208								True	True		True												
SRX5504119	PRJNA526511	SAMN08200716		2.0	First S. aureus ICA model	RPMI+10%LB	PreCulture	Exponential	TCH1516			WT		TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 4000	ILLUMINA	PRJNA526511	526511.0	3/11/2019 18:31	SRR8709681	SRP188115	SRS2770989	Staphylococcus aureus	SRA858526	1280.0		1208								True	True		True												
SRX5504120	PRJNA526511	SAMN08200716		1.0	First S. aureus ICA model	CA-MHB	Control	Exponential	TCH1516			WT		TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 4000	ILLUMINA	PRJNA526511	526511.0	3/11/2019 18:31	SRR8709682	SRP188115	SRS2770989	Staphylococcus aureus	SRA858526	1280.0		1208								True	True		True												
SRX5504121	PRJNA526511	SAMN08200716		2.0	First S. aureus ICA model	RPMI+10%LB	0.45ug/mL Vancomycin	Exponential	TCH1516			WT		TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 4000	ILLUMINA	PRJNA526511	526511.0	3/11/2019 18:30	SRR8709683	SRP188115	SRS2770989	Staphylococcus aureus	SRA858526	1280.0		1208								True	True		True												
SRX5972865	PRJNA546264	SAMN11958517		1.0	RNA-Seq of WT Staphylococcus aureus and dpurR grown to exponential and stationary	TSB	Mutant	Stationary	FPR3757			bursa::purR	FPR3757; Publication says FPR3757	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		546264.0	6/12/2019 16:13	SRR9201337;SRR9201338;SRR9201339;SRR9201340	SRP200402	SRS4876936	Staphylococcus aureus	SRA894097	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
SRX5972867	PRJNA546264	SAMN11958515		1.0	RNA-Seq of WT Staphylococcus aureus and dpurR grown to exponential and stationary	TSB	Mutant	Stationary	FPR3757			bursa::purR	FPR3757; Publication says FPR3757	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		546264.0	6/12/2019 16:13	SRR9201357;SRR9201358;SRR9201359;SRR9201360	SRP200402	SRS4876941	Staphylococcus aureus	SRA894097	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
SRX5972868	PRJNA546264	SAMN11958514		2.0	RNA-Seq of WT Staphylococcus aureus and dpurR grown to exponential and stationary	TSB	Mutant	Stationary	FPR3757			bursa::purR	FPR3757; Publication says FPR3757	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		546264.0	6/12/2019 16:13	SRR9201353;SRR9201354;SRR9201355;SRR9201356	SRP200402	SRS4876940	Staphylococcus aureus	SRA894097	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
SRX5972869	PRJNA546264	SAMN11958513		1.0	RNA-Seq of WT Staphylococcus aureus and dpurR grown to exponential and stationary	TSB	WT	Exponential	FPR3757			WT	FPR3757; Publication says FPR3757	TCH1516	0.0	0.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		546264.0	6/12/2019 16:13	SRR9201349;SRR9201350;SRR9201351;SRR9201352	SRP200402	SRS4876939	Staphylococcus aureus	SRA894097	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
