locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
USA300HOU_RS04385,USA300HOU_RS04385,NC_010079.1,USA300HOU_0842,890704,891582,+,DUF1963 domain-containing protein,Function unknown,A0A0H2XEM2,Op561
USA300HOU_RS04395,USA300HOU_RS04395,NC_010079.1,USA300HOU_0845,892324,892710,+,topiosmerase,"Replication, recombination and repair",A0A0H2WWN2,Op562
USA300HOU_RS04400,USA300HOU_RS04400,NC_010079.1,USA300HOU_0846,892703,892999,+,thioredoxin family protein,Energy production and conversion,A0A0E1VKY0,Op562
USA300HOU_RS04405,USA300HOU_RS04405,NC_010079.1,USA300HOU_0847,893249,894274,+,methionine ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A0A0E1VIV3,Op563
USA300HOU_RS04410,USA300HOU_RS04410,NC_010079.1,USA300HOU_0848,894267,894962,+,ABC transporter permease,Inorganic ion transport and metabolism,A0A068E1Q2,Op563
USA300HOU_RS04415,USA300HOU_RS04415,NC_010079.1,USA300HOU_0849,894980,895801,+,MetQ/NlpA family ABC transporter substrate-binding protein,Cell wall/membrane/envelope biogenesis,A0A0H2WW71,Op563
USA300HOU_RS04420,USA300HOU_RS04420,NC_010079.1,USA300HOU_0850,895944,897164,-,site-specific integrase,"Replication, recombination and repair",A0A0H2XIJ4,Op564
USA300HOU_RS04425,sek,NC_010079.1,USA300HOU_0851,897252,897980,-,staphylococcal enterotoxin type K,Function unknown,A0A0H2XJE8,Op565
USA300HOU_RS04430,seq,NC_010079.1,USA300HOU_0852,898004,898732,-,staphylococcal enterotoxin type Q,Function unknown,A0A0H2XFV8,Op565
USA300HOU_RS04435,USA300HOU_RS04435,NC_010079.1,USA300HOU_0853,898749,899207,-,ImmA/IrrE family metallo-endopeptidase,Amino acid transport and metabolism,A0A0H2XGX8,Op565
USA300HOU_RS04440,USA300HOU_RS04440,NC_010079.1,USA300HOU_0854,899219,899551,-,helix-turn-helix transcriptional regulator,Transcription,A0A0H2WVW3,Op565
USA300HOU_RS04445,USA300HOU_RS04445,NC_010079.1,USA300HOU_0855,899744,900007,+,helix-turn-helix transcriptional regulator,Transcription,A0A2C9TN82,Op566
USA300HOU_RS04450,USA300HOU_RS04450,NC_010079.1,USA300HOU_0856,900000,900272,+,winged helix-turn-helix domain-containing protein,No COG annotation,A0A0H2XDW8,Op566
USA300HOU_RS15185,USA300HOU_RS15185,NC_010079.1,USA300HOU_0857,900284,900457,+,pathogenicity island protein,No COG annotation,UPI0003171718,Op566
USA300HOU_RS04455,USA300HOU_RS04455,NC_010079.1,USA300HOU_0858,900424,900627,+,hypothetical protein,No COG annotation,UPI00015FD731,Op566
USA300HOU_RS04460,USA300HOU_RS04460,NC_010079.1,USA300HOU_0859,900629,901012,+,hypothetical protein,No COG annotation,A0A0H2XH41,Op566
USA300HOU_RS04465,USA300HOU_RS04465,NC_010079.1,USA300HOU_0860,901013,901261,+,DUF1474 family protein,Function unknown,A0A0H2XIP3,Op566
USA300HOU_RS04470,USA300HOU_RS04470,NC_010079.1,USA300HOU_0861,901353,903725,+,primase,Function unknown,A0A0H2XIZ8,Op567
USA300HOU_RS04475,USA300HOU_RS04475,NC_010079.1,USA300HOU_0862,904396,904740,+,hypothetical protein,No COG annotation,A0A0H2XK54,Op568
USA300HOU_RS04480,USA300HOU_RS04480,NC_010079.1,USA300HOU_0863,904965,905171,+,hypothetical protein,No COG annotation,A0A0H2XGY6,Op568
USA300HOU_RS04485,USA300HOU_RS04485,NC_010079.1,USA300HOU_0864,905158,906216,+,phage capsid protein,No COG annotation,A0A1S6C723,Op568
USA300HOU_RS04490,USA300HOU_RS04490,NC_010079.1,USA300HOU_0865,906400,906891,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,A0A1S6A0P9,Op569
USA300HOU_RS15195,USA300HOU_RS15195,NC_010079.1,,906888,907043,+,terminase,Function unknown,UPI000A32804F,Op569
USA300HOU_RS04495,USA300HOU_RS04495,NC_010079.1,USA300HOU_0866,907320,908288,+,Abi family protein,Defense mechanisms,A0A0H2XGY2,Op570
USA300HOU_RS04500,USA300HOU_RS04500,NC_010079.1,USA300HOU_0867,908523,909077,-,DUF4888 domain-containing protein,No COG annotation,A0A0H2XJB4,Op571
USA300HOU_RS04505,USA300HOU_RS04505,NC_010079.1,USA300HOU_0868,910111,910305,+,CsbD family protein,Function unknown,A0A0E0VN75,Op572
USA300HOU_RS04510,USA300HOU_RS04510,NC_010079.1,USA300HOU_0869,910538,911389,-,DUF368 domain-containing protein,Function unknown,A0A0D3Q5R6,Op573
USA300HOU_RS04515,sufC,NC_010079.1,USA300HOU_0870,911717,912478,+,Fe-S cluster assembly ATPase SufC,"PostXtranslational modification, protein turnover, and chaperones",A0A077V1G8,Op574
USA300HOU_RS04520,sufD,NC_010079.1,USA300HOU_0871,912576,913883,+,Fe-S cluster assembly protein SufD,"PostXtranslational modification, protein turnover, and chaperones",A0A0E0VMK3,Op575
USA300HOU_RS04525,USA300HOU_RS04525,NC_010079.1,USA300HOU_0873,913989,915239,+,cysteine desulfurase,Amino acid transport and metabolism,A0A0E1X7A5,Op576
USA300HOU_RS04530,USA300HOU_RS04530,NC_010079.1,USA300HOU_0874,915229,915693,+,SUF system NifU family Fe-S cluster assembly protein,Energy production and conversion,A0A0E1VIX9,Op576
USA300HOU_RS04535,sufB,NC_010079.1,USA300HOU_0875,915844,917241,+,Fe-S cluster assembly protein SufB,"PostXtranslational modification, protein turnover, and chaperones",A0A0E1VKY9,Op577
USA300HOU_RS04540,USA300HOU_RS04540,NC_010079.1,USA300HOU_0876,917428,917565,+,chorismate mutase,No COG annotation,A0A0H2WYQ7,Op578
USA300HOU_RS04545,USA300HOU_RS04545,NC_010079.1,USA300HOU_0877,917571,917885,-,hypothetical protein,No COG annotation,A0A0D6W4S3,Op579
USA300HOU_RS04550,USA300HOU_RS04550,NC_010079.1,USA300HOU_0878,918250,919290,+,HlyC/CorC family transporter,Inorganic ion transport and metabolism,A0A0D3Q629,Op580
USA300HOU_RS04555,USA300HOU_RS04555,NC_010079.1,USA300HOU_0879,919304,920371,+,nitronate monooxygenase,Function unknown,A0A0D6HXG1,Op580
USA300HOU_RS04560,USA300HOU_RS04560,NC_010079.1,USA300HOU_0881,920438,920536,+,hypothetical protein,No COG annotation,A0A0H2X282,Op581
USA300HOU_RS04565,USA300HOU_RS04565,NC_010079.1,USA300HOU_0882,920584,921432,+,DUF72 domain-containing protein,Function unknown,A0A0H2WYD8,Op582
USA300HOU_RS04570,USA300HOU_RS04570,NC_010079.1,USA300HOU_0883,921445,922272,+,sulfite exporter TauE/SafE family protein,Function unknown,A0A0E0VNR4,Op582
USA300HOU_RS04575,USA300HOU_RS04575,NC_010079.1,USA300HOU_0884,922299,923618,+,bifunctional metallophosphatase/5'-nucleotidase,Nucleotide transport and metabolism,A0A0H2XKC2,Op582
USA300HOU_RS04580,lipA,NC_010079.1,USA300HOU_0885,923702,924619,+,lipoyl synthase,Coenzyme transport and metabolism,A0A077VXX8,Op583
USA300HOU_RS04585,USA300HOU_RS04585,NC_010079.1,USA300HOU_0886,924749,925132,+,YutD family protein,Function unknown,A0A077V592,Op584
USA300HOU_RS04590,USA300HOU_RS04590,NC_010079.1,USA300HOU_0887,925211,925477,-,DUF3055 domain-containing protein,Function unknown,A0A0E1VTD5,Op585
USA300HOU_RS04595,USA300HOU_RS04595,NC_010079.1,USA300HOU_0888,925575,926009,+,DUF86 domain-containing protein,Function unknown,A0A0E7MS50,Op586
USA300HOU_RS04600,USA300HOU_RS04600,NC_010079.1,USA300HOU_0889,926009,926788,+,TIGR01457 family HAD-type hydrolase,Carbohydrate transport and metabolism,A0A0E1VL91,Op586
USA300HOU_RS04605,USA300HOU_RS04605,NC_010079.1,USA300HOU_0890,926821,927780,+,D-glycerate dehydrogenase,Energy production and conversion,A0A0E1VJ63,Op586
USA300HOU_RS04610,USA300HOU_RS04610,NC_010079.1,USA300HOU_0891,928034,928144,+,hypothetical protein,No COG annotation,A0A0D1JIZ9,Op587
USA300HOU_RS04615,USA300HOU_RS04615,NC_010079.1,USA300HOU_0892,928192,928344,+,teichoic acid D-Ala incorporation-associated protein DltX,Function unknown,A0A0E0VN94,Op588
USA300HOU_RS04620,dltA,NC_010079.1,USA300HOU_0893,928360,929817,+,D-alanine--poly(phosphoribitol) ligase subunit DltA,"Secondary metabolites biosynthesis, transport, and catabolism",A6QFE3,Op588
USA300HOU_RS04625,dltB,NC_010079.1,USA300HOU_0894,929814,931028,+,PG:teichoic acid D-alanyltransferase DltB,Cell wall/membrane/envelope biogenesis,A0A0E0VNS4,Op588
USA300HOU_RS04630,dltC,NC_010079.1,USA300HOU_0895,931046,931282,+,D-alanine--poly(phosphoribitol) ligase subunit 2,Lipid transport and metabolism,A0A0D1IZ12,Op588
USA300HOU_RS04635,dltD,NC_010079.1,USA300HOU_0896,931279,932454,+,D-alanyl-lipoteichoic acid biosynthesis protein DltD,Cell wall/membrane/envelope biogenesis,A0A0E8G8K9,Op588
USA300HOU_RS04640,USA300HOU_RS04640,NC_010079.1,USA300HOU_0897,932717,932959,-,NifU family protein,"PostXtranslational modification, protein turnover, and chaperones",A0A077UMM1,Op589
USA300HOU_RS04645,USA300HOU_RS04645,NC_010079.1,USA300HOU_0898,933060,933383,+,YuzD family protein,Function unknown,A0A0H2WYS7,Op590
USA300HOU_RS04650,USA300HOU_RS04650,NC_010079.1,USA300HOU_0899,933442,934506,-,NAD(P)/FAD-dependent oxidoreductase,Energy production and conversion,A0A0E0VNS9,Op591
USA300HOU_RS04655,USA300HOU_RS04655,NC_010079.1,USA300HOU_0900,934823,935059,+,YuzB family protein,Function unknown,A0A0E0VMM9,Op592
USA300HOU_RS04660,USA300HOU_RS04660,NC_010079.1,USA300HOU_0901,935072,935431,+,iron-sulfur cluster assembly accessory protein,Function unknown,A0A0E0VP66,Op592
USA300HOU_RS04665,USA300HOU_RS04665,NC_010079.1,USA300HOU_0902,935885,937093,+,NAD(P)/FAD-dependent oxidoreductase,Energy production and conversion,A0A0D1JQF8,Op593
USA300HOU_RS04670,USA300HOU_RS04670,NC_010079.1,,937224,938699,+,cytosol aminopeptidase,Amino acid transport and metabolism,A0A0H2WYH0,Op594
USA300HOU_RS04675,USA300HOU_RS04675,NC_010079.1,USA300HOU_0903,939110,940426,+,Na+/H+ antiporter family protein,Function unknown,A0A0H2XHJ2,Op595
USA300HOU_RS04680,USA300HOU_RS04680,NC_010079.1,USA300HOU_0904,940445,940819,+,PaaI family thioesterase,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0D6GEK5,Op595
USA300HOU_RS04685,USA300HOU_RS04685,NC_010079.1,USA300HOU_0905,940875,942029,-,SidA/IucD/PvdA family monooxygenase,Inorganic ion transport and metabolism,A0A0D6HW73,Op596
USA300HOU_RS04690,USA300HOU_RS04690,NC_010079.1,USA300HOU_0906,942278,942634,-,Na+/H+ antiporter subunit G1,Inorganic ion transport and metabolism,A0A077W0R5,Op597
USA300HOU_RS04695,USA300HOU_RS04695,NC_010079.1,USA300HOU_0907,942612,942905,-,Na(+)/H(+) antiporter subunit F1,Inorganic ion transport and metabolism,A0A0E0VME3,Op598
USA300HOU_RS04700,USA300HOU_RS04700,NC_010079.1,USA300HOU_0908,942905,943384,-,Na+/H+ antiporter subunit E,Inorganic ion transport and metabolism,A0A0E0VNT7,Op598
USA300HOU_RS04705,USA300HOU_RS04705,NC_010079.1,USA300HOU_0909,943386,944882,-,Na+/H+ antiporter subunit D,Energy production and conversion,A0A1S6DLT0,Op598
USA300HOU_RS04710,USA300HOU_RS04710,NC_010079.1,USA300HOU_0910,944875,945204,-,Na(+)/H(+) antiporter subunit C,Inorganic ion transport and metabolism,A0A1J0J681,Op598
USA300HOU_RS04715,USA300HOU_RS04715,NC_010079.1,USA300HOU_0911,945216,945644,-,Na(+)/H(+) antiporter subunit B,Inorganic ion transport and metabolism,A0A0E0VNB2,Op598
USA300HOU_RS04720,USA300HOU_RS04720,NC_010079.1,USA300HOU_0912,945637,948042,-,Na+/H+ antiporter subunit A,Energy production and conversion,A0A0E1VJA1,Op598
USA300HOU_RS04725,USA300HOU_RS04725,NC_010079.1,USA300HOU_0913,948173,948556,-,kinase,Signal transduction mechanisms,A0A0D6HWV3,Op599
USA300HOU_RS04730,USA300HOU_RS04730,NC_010079.1,USA300HOU_0914,948620,949213,+,peptidyl-prolyl cis-trans isomerase,"PostXtranslational modification, protein turnover, and chaperones",A0A0D1I472,Op600
USA300HOU_RS04735,USA300HOU_RS04735,NC_010079.1,,949629,950006,+,S1 RNA-binding domain-containing protein,"Translation, ribosomal structure and biogenesis",A0A0E0VP82,Op601
USA300HOU_RS04740,USA300HOU_RS04740,NC_010079.1,USA300HOU_0915,950368,951495,+,NADH-dependent flavin oxidoreductase,Energy production and conversion,A0A0D6HWT3,Op602
USA300HOU_RS04745,USA300HOU_RS04745,NC_010079.1,USA300HOU_0916,951803,952993,+,ornithine--oxo-acid transaminase,Amino acid transport and metabolism,A0A0H2XIK4,Op603
USA300HOU_RS04750,USA300HOU_RS04750,NC_010079.1,USA300HOU_0917,953102,954346,+,Glu/Leu/Phe/Val dehydrogenase,Amino acid transport and metabolism,A0A0H2XHC2,Op604
USA300HOU_RS04760,USA300HOU_RS04760,NC_010079.1,USA300HOU_0918,954849,955778,-,glycerophosphodiester phosphodiesterase,Energy production and conversion,A0A0E0VP88,Op605
USA300HOU_RS04765,argH,NC_010079.1,USA300HOU_0919,956020,957399,-,argininosuccinate lyase,Amino acid transport and metabolism,A0A5A8VNJ0,Op606
USA300HOU_RS04770,USA300HOU_RS04770,NC_010079.1,USA300HOU_0920,957389,958594,-,argininosuccinate synthase,Amino acid transport and metabolism,A0A0D6WAS8,Op606
USA300HOU_RS04775,USA300HOU_RS04775,NC_010079.1,USA300HOU_0921,958945,960276,+,glucose-6-phosphate isomerase,Carbohydrate transport and metabolism,A0A0E1X754,Op607
USA300HOU_RS04780,USA300HOU_RS04780,NC_010079.1,USA300HOU_0922,960601,961176,+,TVP38/TMEM64 family protein,Function unknown,A0A0E1VJ92,Op608
USA300HOU_RS04785,lepB,NC_010079.1,USA300HOU_0923,961181,961705,+,signal peptidase I,"Intracellular trafficking, secretion, and vesicular transport",A0A0D6HWN0,Op608
USA300HOU_RS04790,lepB,NC_010079.1,USA300HOU_0924,961721,962296,+,signal peptidase I,"Intracellular trafficking, secretion, and vesicular transport",A0A0D6HVU2,Op608
USA300HOU_RS04795,addB,NC_010079.1,USA300HOU_0925,962456,965932,+,helicase-exonuclease AddAB subunit AddB,"Replication, recombination and repair",A0A0D6HWL4,Op609
USA300HOU_RS04800,addA,NC_010079.1,USA300HOU_0926,965933,969586,+,helicase-exonuclease AddAB subunit AddA,"Replication, recombination and repair",A0A0E8G8A8,Op609
USA300HOU_RS04805,USA300HOU_RS04805,NC_010079.1,USA300HOU_0927,969752,970654,+,fumarylacetoacetate hydrolase family protein,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0H3K717,Op610
USA300HOU_RS04810,USA300HOU_RS04810,NC_010079.1,USA300HOU_0928,970983,971372,+,YisL family protein,Function unknown,A0A0D6HVS2,Op611
USA300HOU_RS04815,USA300HOU_RS04815,NC_010079.1,USA300HOU_0929,971543,972859,-,CoA-disulfide reductase,Energy production and conversion,A0A0D3Q5R4,Op612
USA300HOU_RS04820,USA300HOU_RS04820,NC_010079.1,USA300HOU_0930,972911,973735,-,Cof-type HAD-IIB family hydrolase,Function unknown,A0A0E1VIK8,Op613
USA300HOU_RS04825,USA300HOU_RS04825,NC_010079.1,USA300HOU_0931,973849,974157,+,metal-sulfur cluster assembly factor,Function unknown,A0A0E1VKM6,Op614
USA300HOU_RS04830,USA300HOU_RS04830,NC_010079.1,USA300HOU_0932,974704,976518,+,acetyltransferase,Amino acid transport and metabolism,A0A0H2XFD0,Op615
USA300HOU_RS04835,clpB,NC_010079.1,USA300HOU_0933,976721,979330,+,ATP-dependent chaperone ClpB,"PostXtranslational modification, protein turnover, and chaperones",A0A0E1VKP6,Op616
USA300HOU_RS04840,USA300HOU_RS04840,NC_010079.1,USA300HOU_0934,979389,980258,-,LysR family transcriptional regulator,Transcription,A0A0D3Q5R9,Op617
USA300HOU_RS04845,USA300HOU_RS04845,NC_010079.1,USA300HOU_0935,980368,981513,+,2-isopropylmalate synthase,Amino acid transport and metabolism,A0A0E8GC24,Op618
USA300HOU_RS04850,USA300HOU_RS04850,NC_010079.1,USA300HOU_0936,981497,982138,+,L-threonylcarbamoyladenylate synthase,"Translation, ribosomal structure and biogenesis",A0A0E1VIJ9,Op618
USA300HOU_RS04855,USA300HOU_RS04855,NC_010079.1,USA300HOU_0938,982131,983249,+,membrane protein,Amino acid transport and metabolism,A0A0E1VKQ1,Op618
USA300HOU_RS04860,USA300HOU_RS04860,NC_010079.1,,983233,983748,+,YbhB/YbcL family Raf kinase inhibitor-like protein,Function unknown,A0A0H2WWB4,Op618
USA300HOU_RS04865,USA300HOU_RS04865,NC_010079.1,USA300HOU_0939,984059,984493,+,MAP domain-containing protein,Function unknown,A0A0H2WVZ3,Op619
USA300HOU_RS04870,USA300HOU_RS04870,NC_010079.1,USA300HOU_0940,984750,984935,-,YjzD family protein,Function unknown,A0A0E0VMH4,Op620
USA300HOU_RS04875,USA300HOU_RS04875,NC_010079.1,USA300HOU_0941,985230,986171,+,ketoacyl-ACP synthase III,Lipid transport and metabolism,A0A0D6HWC8,Op621
USA300HOU_RS04880,fabF,NC_010079.1,USA300HOU_0942,986183,987427,+,beta-ketoacyl-ACP synthase II,Lipid transport and metabolism,A0A0E8G9V2,Op621
USA300HOU_RS04885,USA300HOU_RS04885,NC_010079.1,USA300HOU_0943,987482,987853,-,DUF3899 domain-containing protein,Function unknown,A0A0D3Q5Z3,Op622
USA300HOU_RS04890,USA300HOU_RS04890,NC_010079.1,USA300HOU_0944,988096,989022,+,ABC transporter permease,Inorganic ion transport and metabolism,A0A077VVY8,Op623
USA300HOU_RS04895,USA300HOU_RS04895,NC_010079.1,USA300HOU_0945,989022,990092,+,ABC transporter permease,Amino acid transport and metabolism,A0A0D6W9J7,Op623
USA300HOU_RS04900,USA300HOU_RS04900,NC_010079.1,USA300HOU_0946,990109,991191,+,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A0A0E0VNX8,Op623
USA300HOU_RS04905,USA300HOU_RS04905,NC_010079.1,USA300HOU_0947,991181,992122,+,ATP-binding cassette domain-containing protein,Inorganic ion transport and metabolism,A0A0D6HXC4,Op623
USA300HOU_RS04910,USA300HOU_RS04910,NC_010079.1,USA300HOU_0948,992141,993796,+,peptide ABC transporter substrate-binding protein,Amino acid transport and metabolism,A0A0D3Q5Z8,Op623
USA300HOU_RS04915,USA300HOU_RS04915,NC_010079.1,USA300HOU_0949,994008,995723,+,ABC transporter substrate-binding protein,Amino acid transport and metabolism,A0A0E7NMJ6,Op624
USA300HOU_RS04920,USA300HOU_RS04920,NC_010079.1,USA300HOU_0950,995774,996760,+,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A0A0H2XGA7,Op625
USA300HOU_RS04925,USA300HOU_RS04925,NC_010079.1,USA300HOU_0951,996763,997743,+,dipeptide ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A0A0D6HVD8,Op625
USA300HOU_RS04930,USA300HOU_RS04930,NC_010079.1,USA300HOU_0952,997736,998698,+,ABC transporter permease,Amino acid transport and metabolism,A0A0H2WVM6,Op625
USA300HOU_RS04935,USA300HOU_RS04935,NC_010079.1,USA300HOU_0953,998710,999591,+,ABC transporter permease,Amino acid transport and metabolism,A0A0D3Q603,Op625
USA300HOU_RS04940,trpS,NC_010079.1,USA300HOU_0954,999633,1000622,-,tryptophan--tRNA ligase,"Translation, ribosomal structure and biogenesis",A0A0E0VMI8,Op626
USA300HOU_RS04945,spxA,NC_010079.1,USA300HOU_0955,1000917,1001312,+,transcriptional regulator Spx,Transcription,A0A0E1VKQ0,Op627
USA300HOU_RS04950,mecA,NC_010079.1,USA300HOU_0956,1001683,1002402,+,adaptor protein MecA,Cell motility,A0A0D3Q6A0,Op628
USA300HOU_RS15220,USA300HOU_RS15220,NC_010079.1,,1002523,1002780,+,competence protein,No COG annotation,A0A0E8G9A9,Op629
USA300HOU_RS04955,USA300HOU_RS04955,NC_010079.1,USA300HOU_0957,1002786,1003508,+,competence protein,Function unknown,UPI000990CB30,Op630
USA300HOU_RS04960,pepF,NC_010079.1,USA300HOU_0958,1003556,1005364,+,oligoendopeptidase F,Amino acid transport and metabolism,A0A0D6GH02,Op631
USA300HOU_RS04965,USA300HOU_RS04965,NC_010079.1,USA300HOU_0959,1005824,1006630,-,DsbA family protein,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0E0VMJ3,Op632
USA300HOU_RS04970,USA300HOU_RS04970,NC_010079.1,USA300HOU_0960,1006653,1007018,-,truncated hemoglobin,Function unknown,A0A0H2XHR2,Op632
USA300HOU_RS04975,USA300HOU_RS04975,NC_010079.1,USA300HOU_0961,1007122,1007715,-,CYTH domain-containing protein,Function unknown,A0A0H2WVN0,Op633
USA300HOU_RS04980,USA300HOU_RS04980,NC_010079.1,USA300HOU_0962,1007901,1008248,+,hypothetical protein,Function unknown,A0A0E1VKS5,Op634
USA300HOU_RS04985,USA300HOU_RS04985,NC_010079.1,USA300HOU_0963,1008265,1008900,+,GTP pyrophosphokinase family protein,Function unknown,A0A0E0VNF8,Op634
USA300HOU_RS04990,USA300HOU_RS04990,NC_010079.1,USA300HOU_0964,1008917,1009726,+,NAD kinase,Nucleotide transport and metabolism,A0A0E0VMJ6,Op634
USA300HOU_RS04995,USA300HOU_RS04995,NC_010079.1,USA300HOU_0965,1009723,1010577,+,RluA family pseudouridine synthase,"Translation, ribosomal structure and biogenesis",A0A0D6HX24,Op634
USA300HOU_RS05000,mgtE,NC_010079.1,USA300HOU_0966,1010598,1011983,+,magnesium transporter,Inorganic ion transport and metabolism,A0A068DXM4,Op634
USA300HOU_RS05005,USA300HOU_RS05005,NC_010079.1,USA300HOU_0967,1011993,1013837,+,monovalent cation:proton antiporter family protein,Inorganic ion transport and metabolism,A0A0E0VPD7,Op634
USA300HOU_RS05010,fabI,NC_010079.1,USA300HOU_0969,1014115,1014885,+,enoyl-ACP reductase FabI,Lipid transport and metabolism,A0A0E1VSS6,Op635
USA300HOU_RS05015,USA300HOU_RS05015,NC_010079.1,USA300HOU_0970,1015080,1016165,-,AI-2E family transporter,Function unknown,A0A0E0VMK1,Op636
USA300HOU_RS05020,USA300HOU_RS05020,NC_010079.1,USA300HOU_0971,1016507,1018075,+,alanine:cation symporter family protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0E7NKC0,Op637
USA300HOU_RS05025,USA300HOU_RS05025,NC_010079.1,USA300HOU_0972,1018217,1018975,+,esterase family protein,Inorganic ion transport and metabolism,A0A0D6HUN1,Op638
USA300HOU_RS05030,USA300HOU_RS05030,NC_010079.1,USA300HOU_0973,1019169,1019678,+,hypothetical protein,"Translation, ribosomal structure and biogenesis",A0A0D6HVI7,Op639
USA300HOU_RS05035,USA300HOU_RS05035,NC_010079.1,USA300HOU_0974,1019791,1020999,-,MFS transporter,Amino acid transport and metabolism,A0A2I7Y6V2,Op640
USA300HOU_RS05040,USA300HOU_RS05040,NC_010079.1,USA300HOU_0975,1020959,1022134,-,diglucosyl diacylglycerol synthase,Cell wall/membrane/envelope biogenesis,A0A0E0VMK5,Op640
USA300HOU_RS05045,USA300HOU_RS05045,NC_010079.1,USA300HOU_0976,1022567,1024048,+,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase,Cell wall/membrane/envelope biogenesis,A0A0E7MX78,Op641
USA300HOU_RS05050,USA300HOU_RS05050,NC_010079.1,USA300HOU_0977,1024032,1024292,+,hypothetical protein,Function unknown,A0A2I7Y6U7,Op641
USA300HOU_RS05055,USA300HOU_RS05055,NC_010079.1,USA300HOU_0978,1024292,1025854,+,peptide chain release factor 3,"Translation, ribosomal structure and biogenesis",A0A0D3Q6B8,Op641
USA300HOU_RS05060,USA300HOU_RS05060,NC_010079.1,USA300HOU_0979,1026156,1026959,+,TerC family protein,Inorganic ion transport and metabolism,A0A0E1VST6,Op642
USA300HOU_RS05065,USA300HOU_RS05065,NC_010079.1,USA300HOU_0980,1027178,1029502,+,serine protease,"PostXtranslational modification, protein turnover, and chaperones",A0A5A8VDM5,Op643
USA300HOU_RS05070,USA300HOU_RS05070,NC_010079.1,USA300HOU_0981,1029519,1030877,+,TrkH family potassium uptake protein,Inorganic ion transport and metabolism,A0A0D6GGT6,Op643
USA300HOU_RS05075,USA300HOU_RS05075,NC_010079.1,USA300HOU_0982,1031016,1032527,+,bifunctional metallophosphatase/5'-nucleotidase,Nucleotide transport and metabolism,A0A0H2WWE1,Op644
USA300HOU_RS05090,USA300HOU_RS05090,NC_010079.1,USA300HOU_0983,1033014,1033583,-,competence protein ComK,Transcription,A0A0E1VKU1,Op645
USA300HOU_RS05095,USA300HOU_RS05095,NC_010079.1,,1033793,1034011,+,IDEAL domain-containing protein,Function unknown,A0A0E1VSU3,Op646
USA300HOU_RS05100,USA300HOU_RS05100,NC_010079.1,,1034092,1035078,-,lipoate--protein ligase,Coenzyme transport and metabolism,A0A0E1VIR1,Op647
USA300HOU_RS05105,USA300HOU_RS05105,NC_010079.1,,1035277,1035453,+,YkvS family protein,Function unknown,A0A0D1H5K7,Op648
USA300HOU_RS05110,USA300HOU_RS05110,NC_010079.1,,1035468,1036070,+,CPBP family intramembrane metalloprotease,Function unknown,A0A0E0VMV8,Op648
USA300HOU_RS05115,USA300HOU_RS05115,NC_010079.1,,1036303,1036448,+,putative holin-like toxin,No COG annotation,,Op649
USA300HOU_RS05120,USA300HOU_RS05120,NC_010079.1,,1036987,1037088,+,hypothetical protein,No COG annotation,A0A2C9TNI3,Op650
USA300HOU_RS15225,USA300HOU_RS15225,NC_010079.1,,1037098,1037370,+,lactococcin 972 family bacteriocin,Function unknown,A0A2I7YBL0,Op650
USA300HOU_RS05125,USA300HOU_RS05125,NC_010079.1,,1037414,1039378,+,bacteriocin-associated integral membrane family protein,Function unknown,A0A0D3Q641,Op651
USA300HOU_RS05130,USA300HOU_RS05130,NC_010079.1,,1039381,1039701,+,YxeA family protein,Function unknown,A0A077UTT6,Op651
USA300HOU_RS05135,USA300HOU_RS05135,NC_010079.1,,1039698,1040339,+,ABC transporter ATP-binding protein,Defense mechanisms,A0A0D6GHV4,Op651
USA300HOU_RS15230,USA300HOU_RS15230,NC_010079.1,,1040427,1040717,-,hypothetical protein,No COG annotation,A0A0H2WWE7,Op652
USA300HOU_RS05145,USA300HOU_RS05145,NC_010079.1,,1040996,1041283,+,hypothetical protein,No COG annotation,A0A0D3Q617,Op653
USA300HOU_RS05150,USA300HOU_RS05150,NC_010079.1,USA300HOU_0984,1041289,1042770,+,glycosyltransferase,Cell wall/membrane/envelope biogenesis,A0A0D6HUA0,Op653
USA300HOU_RS05155,USA300HOU_RS05155,NC_010079.1,,1042859,1043215,-,DoxX family protein,Function unknown,A0A0H2WVQ3,Op654
USA300HOU_RS05160,USA300HOU_RS05160,NC_010079.1,USA300HOU_0985,1043692,1044651,+,ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,A0A0H2WVS9,Op655
USA300HOU_RS05165,USA300HOU_RS05165,NC_010079.1,USA300HOU_0986,1044697,1044828,-,hypothetical protein,No COG annotation,A0A0H2WWF1,Op656
USA300HOU_RS05170,USA300HOU_RS05170,NC_010079.1,USA300HOU_0987,1044892,1045182,-,TM2 domain-containing protein,Function unknown,A0A0E1VKV3,Op657
